image_path,label_path,split,wsi_id,epi_frac,marsh_bin
Trainset/Images_tif/12_HE_(d-4_x-32256_y-10752_w-2048_h-2048).tif,Trainset/Labels_tif/12_HE_(d-4_x-32256_y-10752_w-2048_h-2048).tif,Trainset,12,0.13130950927734375,Marsh-3b
Trainset/Images_tif/102_HE_(d-4_x-12288_y-15360_w-2048_h-2048).tif,Trainset/Labels_tif/102_HE_(d-4_x-12288_y-15360_w-2048_h-2048).tif,Trainset,102,0.15654754638671875,Marsh-3a
Trainset/Images_tif/25_HE_(d-4_x-9216_y-26112_w-2048_h-2048).tif,Trainset/Labels_tif/25_HE_(d-4_x-9216_y-26112_w-2048_h-2048).tif,Trainset,25,0.21506500244140625,Marsh-3a
Trainset/Images_tif/19_HE_(d-4_x-9216_y-30720_w-2048_h-2048).tif,Trainset/Labels_tif/19_HE_(d-4_x-9216_y-30720_w-2048_h-2048).tif,Trainset,19,0.5390434265136719,Marsh-0
Trainset/Images_tif/142_HE_(d-4_x-49152_y-7680_w-2048_h-2048).tif,Trainset/Labels_tif/142_HE_(d-4_x-49152_y-7680_w-2048_h-2048).tif,Trainset,142,0.01908111572265625,Marsh-3b
Trainset/Images_tif/124_HE_(d-4_x-35328_y-18432_w-2048_h-2048).tif,Trainset/Labels_tif/124_HE_(d-4_x-35328_y-18432_w-2048_h-2048).tif,Trainset,124,0.3251190185546875,Marsh-1
Trainset/Images_tif/119_HE_(d-4_x-15360_y-4608_w-2048_h-2048).tif,Trainset/Labels_tif/119_HE_(d-4_x-15360_y-4608_w-2048_h-2048).tif,Trainset,119,0.12237548828125,Marsh-3b
Trainset/Images_tif/85_HE_(d-4_x-30720_y-7680_w-2048_h-2048).tif,Trainset/Labels_tif/85_HE_(d-4_x-30720_y-7680_w-2048_h-2048).tif,Trainset,85,0.2756805419921875,Marsh-1
Trainset/Images_tif/114_HE_(d-4_x-32256_y-18432_w-2048_h-2048).tif,Trainset/Labels_tif/114_HE_(d-4_x-32256_y-18432_w-2048_h-2048).tif,Trainset,114,0.3077430725097656,Marsh-1
Trainset/Images_tif/94_HE_(d-4_x-19968_y-44544_w-2048_h-2048).tif,Trainset/Labels_tif/94_HE_(d-4_x-19968_y-44544_w-2048_h-2048).tif,Trainset,94,0.49997711181640625,Marsh-0
Trainset/Images_tif/62_HE_(d-4_x-24576_y-6144_w-2048_h-2048).tif,Trainset/Labels_tif/62_HE_(d-4_x-24576_y-6144_w-2048_h-2048).tif,Trainset,62,0.2704315185546875,Marsh-1
Trainset/Images_tif/102_HE_(d-4_x-15360_y-39936_w-2048_h-2048).tif,Trainset/Labels_tif/102_HE_(d-4_x-15360_y-39936_w-2048_h-2048).tif,Trainset,102,0.2381744384765625,Marsh-1
Trainset/Images_tif/102_HE_(d-4_x-18432_y-36864_w-2048_h-2048).tif,Trainset/Labels_tif/102_HE_(d-4_x-18432_y-36864_w-2048_h-2048).tif,Trainset,102,0.4269828796386719,Marsh-0
Trainset/Images_tif/116_HE_(d-4_x-21504_y-9216_w-2048_h-2048).tif,Trainset/Labels_tif/116_HE_(d-4_x-21504_y-9216_w-2048_h-2048).tif,Trainset,116,0.4874114990234375,Marsh-0
